caliper_s,n_trials,n_subjects,auc
0.25,254,58,0.6133333333333333
0.5,266,58,0.616969696969697
0.75,270,58,0.6242424242424243
1.0,272,58,0.6242424242424243
1.5,274,58,0.6218181818181818
2.0,278,58,0.6193939393939394
