n_train_subjects,auc_mean,auc_std,n_valid_repeats
10,0.5833039388594944,0.10964944105159893,30
20,0.5878787878787878,0.07458827722660372,30
30,0.6526041666666665,0.10102152935073348,30
40,0.6416666666666667,0.10534335395373655,30
50,0.717777777777778,0.1875244839981314,30
