,all_features,duration_invariant,shape_clean,confounded_only,duration_only
logreg,0.6327272727272727,0.6266666666666667,0.6206060606060606,0.6751515151515152,0.6096969696969697
svm_rbf,0.623030303030303,0.6012121212121212,0.576969696969697,0.6339393939393939,0.2872727272727273
random_forest,0.6054545454545455,0.6012121212121213,0.583030303030303,0.6175757575757576,0.4503030303030303
