set,pooled,batch A,batch B
all_features,0.6327272727272727,0.6041666666666667,0.4666666666666667
duration_invariant,0.6266666666666667,0.5666666666666668,0.49629629629629624
shape_clean,0.6206060606060606,0.5375,0.5407407407407407
duration_only,0.6096969696969697,0.6416666666666667,0.6592592592592593
